Companies,Industries,Affected_Date
Beckley,,July 19
Actiontec,,July 19
INSERM-TRANSFER,,July 19
Lucky Star Casino,,July 19
KOMPAN A/S,,July 17
ALBIOMA,,July 12
RIB GROUP,,July 09
Proponent,,July 09
Goetze Dental,,July 08
supplyforce,,July 05
friedrich,,July 05
Vogel Heating & Cooling,,July 01
Dynamic NC,,June 29
The Brock Group,,June 29
The Waterloo Networking Company,,June 25
Southern Eagle Distributing,,June 25
Perfume Worldwide Inc.,,June 25
Lareau Courtiers d’assurances,,June 25
"Nickerson Insurance Services, Inc",,June 25
Sleep Outfitters,,June 25
FNA GROUP,,June 25
Concept Building Services,,June 25
Scott Felder Homes,,June 25
Complete Automation,,June 23
Brown Strauss Steel,,June 23
Voltalia,,June 23
Uniware Systems,,June 23
Cerfrance Côtes d,,June 23
USI,,June 23
East Texas Alarm,,June 23
Antwerp Local Schools,,June 22
City of Tulsa,,June 22
"Southwest Recovery Services, LLC",,June 20
Ascenz,,June 18
Windmill Health Products,,June 18
Maître Prunille,,June 18
Groupe ISERBA,,June 17
BRANGEON Groupe,,June 17
Au Forum Du Batiment SAS,,June 17
DirickX,,June 17
Filtertek,,June 17
SEVES Group SpA,,June 17
Contrast Lighting,,June 17
University of Corboda,,June 17
National Louis University,,June 17
Sunsations Inc.,,June 17
eCapital,,June 16
La Innovacion,,June 15
DSD PARTNERS,,June 14
STAM,,June 10
Stride Tool,,June 10
Technical University of Berlin,,June 10
IPSEN,,June 09
TPI Corporation,,June 09
Romeo Engineering Inc,,June 09
Image one,,June 08
OpTech Staffing Solutions,,June 08
Thomas Westcott,,June 08
PLURIPHARMA SRL,,June 07
Funbreak,,June 07
Birmingham Barons,,June 07
Xpressdocs,,June 07
A&A MECHANICAL,,June 06
"Nissin International Transport U.S.A., Inc.",,June 04
Strongco,,June 04
Plimpton and Hills Corp,,June 02
Temmel Logistik Center,,June 01
DSD PARTNERS,,May 31
Flaghouse,,May 25
BVA Group,,May 25
Finolex Cables Ltd.,,May 24
Moor Park High School,,May 24
PT. Realta Chakradarma,,May 21
TELCAL srl,,May 20
"Michael Stevens Interests, Inc.",,May 20
MHA MacIntyre Hudson,,May 20
ResCon Group,,May 20
Loudoun Mutual Insurance Company,,May 20
ARWORLD,,May 20
AZ INVESTIGATION,,May 20
DigiCon Technologies Limited,,May 20
Transports P. Fatton Inc.,,May 20
"Hentzen Coatings, Inc.",,May 20
LG CNS,,May 20
Mauffrey Group,,May 20
Seifert Logistics Group,,May 20
"Ash Industries, Inc.",,May 20
Cable Color S.A. de C.V.,,May 20
Cairns Marine,,May 20
"Birtcher Anderson & Davis Associates, Inc.",,May 20
"Creative Liquid Coatings, Inc",,May 20
empire physicians Medical Group,,May 19
Intermountain Farmers Association - IFA COUNTRY STORES,,May 19
Tasman Butchers,,May 18
Wizie,,May 13
Bee County Texas,,May 13
MISSION IMPRINTABLES,,May 07
PCH International,,May 06
TRACTOR CENTRAL,,May 05
Jacquet Metals Group,,May 03
Travers Tool Co Inc,,May 03
PNGC Power,,May 03
Party Rental LTD,,May 03
Options Greathire Ltd,,May 03
Matco-Norca,,May 03
Interfel Corp,,May 03
Edifice General Contractors,,May 03
Bertucci,,May 03
Citizens Of Humanity,,May 03
C.E.E. Schisler Packaging Solutions,,May 03
CAVENDERS,,April 30
Capmatic,,April 28
SpecPage,,April 23
aspire inc,,April 23
Hensley Beverage Company,,April 23
Readie Construction Ltd,,April 22
Precision Terminal Logistics,,April 22
HW Fisher,,April 22
HumanWare,,April 22
Ford Meter Box,,April 22
Cairn Capital,,April 22
Bauder Roofing Solutions,,April 22
Apperton,,April 22
SG World,,April 22
New England Finish Systems,,April 22
DDSG Logistics,,April 22
Lauzon Flooring,,April 22
The Village Vets,,April 22
Kaleidoscope Charter School,,April 22
Broward County Public Schools,,April 19
Thomas Keating,,April 14
clinica_integral_de_emergencias_laura_daniela,,April 11
Faxinating Solutions,,April 10
Comfort Keepers,,April 09
TRACEY FOX KING & WALTERS,,April 09
Pitt Plastics LLC,,April 09
groupe-upperside,,April 06
Klenda Austerman LLC,,April 06
cross city church,,April 06
FE Moran Security Solutions,,April 05
CODIFER S.A.S,,April 01
City of Kingman,,March 26
Whole chat with a recovery-company from Broward Schools,,March 26
Buddy Gregg RVs and Motor Homes,,March 24
cross city church,,March 24
TL Machine,,March 23
Diamonds international,,March 23
Health Aid Of Ohio,,March 17
Advantech,,March 17
"Lincoln County, Washington",,March 17
Holly Poultry LLC,,March 17
Vander-Bend Manufacturing,,March 17
SET Enterprises Inc,,March 17
Nenplas Company,,March 17
LivaNova PLC,,March 16
capmar,,March 16
KeyColour Dyesis ,,March 11
Amaroo Village,,March 11
Nienkamper Furniture & Accessories Inc,,March 10
"Area Diesel Service, Inc.",,March 10
White Management Corp,,March 09
mclellanindustries,,March 08
Ajax TOCCO,,March 04
The Brevard County Sheriff,,March 04
Exide Technologies,,March 04
H-E-B Center at Cedar Park,,March 04
IIS Produce,,March 04
С.A.T. Inc,,March 04
Christensen O Connor Johnson Kindness,,March 04
 morris costumes,,March 02
Clearfield County / North Central Broadband Survey,,March 01
Willdan Group,,March 01
Island Pacific,,March 01
Caster Concepts,,February 25
J Rosenthal and Son,,February 24
"Atlantic, Tomorrow",,February 24
Custom Made Meals,,February 24
The International Society of Automation,,February 24
PartsBase,,February 24
Neil Kelly,,February 24
Romero Gamero,,February 24
Blue Projectc Inc,,February 24
Valley Wide Cooperative,,February 24
Smith,,February 24
MNA Media,,February 24
B Green Wholesale,,February 24
PFF Group UK,,February 24
SMC Industries,,February 23
Syndiant,,February 17
Tirrena Scavi,,February 17
Total Fitness,,February 17
SkyeTec,,February 16
Supply New England,,February 16
"Pace Center for Girls, Inc.",,February 13
Innovsource,,February 13
Prima Frutta,,February 12
Leon Medical Centers,,February 12
Scotch Plywood Company,,February 11
Trudeau Corporation Inc,,February 10
Penn Emblem,,February 10
Nocona General Hospital,,February 10
remaxkelowna,,February 10
Netcom Kassel,,February 08
ColorPoint Print,,February 08
MUNOZ TRUCKING,,February 05
"DOUG HOLLYHAND REALTY, INC.",,February 03
Allegheny Intermediate Unit,,January 31
VENTILABEC,,January 27
Orcas Naturals,,January 26
CARLBELT,,January 25
Murchison & Cumming,,January 25
"Warren, Washington and Albany Counties ARC",,January 23
Gulf Copper,,January 22
Rotek Incorporated,,January 22
Sunny Hills Management Co,,January 21
Gesgapegiag,,January 21
Metroplex Cabinets,,January 21
Scottish environment protection agency,,January 21
Stark Metal Sales Inc,,January 21
John Brooks Company,,January 20
MEDTRON,,January 20
The Fayette County Emergency Management Agency,,January 20
Legacyfarms LLC,,January 19
Fattorie Garofalo Soc. Coop. Agricola,,January 19
Creccal Investments Ltd / company profile,,January 19
Sangoma,,January 19
Schick Civil Construction Ltd ,,January 15
The Abaco Club on Winding Bay,,January 15
Gastroenterology Consultants,,January 13
Legacy Farms Llc,,January 12
Ashland Technologies,,January 11
NORWESCAP,,January 11
Weslaco Independet School District ,,January 11
DeLonghi America Inc.,,January 11
Tsys Payment Solutions,,January 11
"Taylor Made Diagnostics, Inc",,January 08
G&D Integrated,,January 06
White Management Corp.,,January 06
Newmark Grubb|CBI,,January 05
The Bay Family of Companies,,December 26
UniPro Foodservice,,December 24
CareersUSA,,December 24
The Broe Group,,December 24
220 Laboratories,,December 24
seth wadley auto group,,December 23
"Illuma Lighting Ltd. Illuma Commercial, Retail ",,December 19
Intersport GmbH,,December 16
VLC Distribution INC,,December 16
floridapaints,,December 15
Samson Holding,,December 14
La Prensa De San Antonio,,December 14
Hantover Inc,,December 12
Kiolbassa Smoked Meats,,December 11
"Stewart, Gee-Murray cpa llp",,December 09
HT Medica,,December 09
Quench,,December 08
"Great Southern Wood Preserving, Incorporated",,December 07
Taylor County Appraisal District ,,December 04
ProTel,,December 04
Riverside Community Care Inc,,December 03
"Tricull Industries, Inc. Cleaning Systems Company",,December 02
Ixsight Technologies Pvt  Ltd,,December 02
Conn Selmer,,November 30
BretzRV,,November 27
Sunland Asphalt & Construction,,October 23
Hill Brothers Chemical Co. & Morgan Fabrics Corporation. & Karen Kane &; Calzone/Anvil. & South Coast Computers,,October 12
West End Lumber & Building Materials Supply,,September 24
Royal Manitoba Theatre Centre,,September 11
Réfrigération Noël,,September 09
a1fiberglass.com,,September 08
Murray Engineering PTY Ltd & FSI Architecture PC,,September 02
"Naman Howell Smith & Lee, PLLC",,August 28
"Oil Company Greenville SC & the Upstate - Echols Oil Company, Inc",,August 27
Axxess International Inc,,January 01
Master Kid Inc,,January 01
McCloskey Mechanical Contractors,,January 01
Joliet Park District,,January 01
Yorkcontainer,,January 01
Landmarkresort hotel beach,,January 01
Marriott international inc,,January 01
"Hms Insurance Associates, Inc",,January 01
electric gas industries association inc,,January 01
Sice Inc,,January 01
Hershey Equipment Co Inc,,January 01
GAR Equipment,,January 01
Lhc Group Inc,,January 01
LF ILLUMINATION LLC,,January 01
Florida Chamber of Commerce,,January 01
VIP Computers LLC,,January 01
LH EVANS,,January 01
Westland Horticulture,,January 01
Peugeot Motocycles,,January 01
Temgroupinc,,January 01
Visual Impressions,,January 01
M3P Directional Services,,January 01
Aigües de Terrassa,,January 01
Precision Tandems Inc,,January 01
National Wire Cable Corporation,,January 01
Ventura Orthopedics,,January 01
The Volkswagen Group,,January 01
Pontotoc County Sheriff’s Office,,January 01
Filtration Group,,January 01
Carbon Power and Light,,January 01
City of Rocky Mount,,January 01
QRG,,January 01
Waldhoff gmbh Co,,January 01
Gestoria Auto Gestion,,January 01
Motta S.p.A.,,January 01
The Dobco Group,,January 01
Bruckner Truck Sales Inc,,January 01
Johnbear,,January 01
Marie Claire Boutiques,,January 01
Sandream Impact LLC,,January 01
Soloptical,,January 01
"VUTEQ CORPORATION, LTD.",,January 01
Adams County Memorial Hospital,,January 01
M and M Merchandisers,,January 01
OCA Global,,January 01
Our Lady of the Most Holy Rosary Catholic Community,,January 01
PanReac AppliChem ITW Reagents Division,,January 01
"Pilkington Commercial Co., Inc.",,January 01
CCB Packaging Inc,,January 01
Beler Holdings Inc,,January 01
"Cambria County, Pennsylvania",,January 01
New Light Christian Christian Center,,January 01
ThyssenKrupp Holding ,,January 01
Allfasteners,,January 01
4th Judicial District Court,,January 01
LindFast Solutions Group,,January 01
CB Masonry,,January 01
"Smith &amp; McGhee, PC",,January 01
"Star-Tam, Inc.",,January 01
"Chris-Leef General Agency, Inc",,January 01
Millstone Township School District,,January 01
Horizon Controls,,January 01
Adam Kutner Cares,,January 01
 Neel Veterinary Hospital,,January 01
Pearson Foods Corporation,,January 01
Earthly Choice,,January 01
Siegfried &amp; Jensen,,January 01
News Galstan and Ward Family,,January 01
Manitoulin Transport,,January 01
Tile Liquidators,,January 01
"City of Casey, Illinois",,January 01
Inter-Con Servicios de Seguridad Privada ,,January 01
Higginbotham Family Dental,,January 01
Washington County Sheriff,,January 01
Ruddy Joinery,,January 01
Prominent Europe Ltd ,,January 01
The Acorn,,January 01
Herman Goldner Co Inc,,January 01
Ostiguy Ford,,January 01
MAT GmbH,,January 01
The Judge Organization Companies,,January 01
New York Foundation for Senior Citizens,,January 01
Emergency Air,,January 01
Stone Legends,,January 01
NWH Group,,January 01
Dci Shires Inc,,January 01
 BRANDENBURG TELEPHONE,,January 01
Fpos Group,,January 01
Tkemlups te Secwepemc,,January 01
Diaco Law,,January 01
ATB Morley,,January 01
Middlesex Housing Limited,,January 01
Swisher Commercial,,January 01
Fresno Equipment Co,,January 01
Comcast Business Starter Internet,,January 01
Fall River Housing Authority,,January 01
Milmont Greenhouses Inc,,January 01
Ringley Group,,January 01
City of Key West Florida,,January 01
E.W. Wylie Corporation,,January 01
Trinity Supply Chain Solutions,,January 01
"Daniel B. Hastings, Inc.",,January 01
City of North Tonawanda N.Y.,,January 01
"The Washington Firm, Ltd.",,January 01
North Tippah School District,,January 01
Nation Huronne-Wendat,,January 01
Sign Language XL,,January 01
Tools and Metals Supply,,January 01
TrilliumCcollege,,January 01
Data Evolution Corporation,,January 01
ITD Print Solutions Inc,,January 01
Family Health Centers Of Georgia Inc,,January 01
"Baldwin Accounting CPA, P.A. (BACPA)",,January 01
Greater Allen Development Corporation,,January 01
Weirs Furniture,,January 01
Palmieri furniture,,January 01
Delme-Werkstätten gGmbH,,January 01
Varroc Lighting Systems,,January 01
Top Rocker Harley-Davidson,,January 01
Golden Gate Regional Center,,January 01
Crossroads Courier Inc,,January 01
CORE Information Technology Consultants Ltd.,,January 01
Hi-Line Moving Services,,January 01
Whistl.UK,,January 01
Omnetics Connector Corporation ,,January 01
LABORATOIRES EXPANSCIENCE,,January 01
